occurrenceID,scientificName,chineseName,decimalLatitude,decimalLongitude,eventDate,year,season,samplingProtocol,dataSource,sourceCode
1W-041BL,Bathypterois guentheri,貢氏深海狗母魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041D8,Bothus myriaster,繁星鮃,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042G5,Hoplostethus melanopus,黑首胸燧鯛,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042JX,Lamprogrammus brunswigi,布氏軟鼬鳚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042MA,Monomitopus kumae,熊吉單趾鼬鳚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042MP,Monomitopus kumae,熊吉單趾鼬鳚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043AF,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043AY,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043AZ,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B0,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BD,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BK,Sigmops gracilis,柔身纖鑽光魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043D6,Sternoptyx diaphana,褶胸魚,22.34,120.11,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041LX,Coryphaenoides microps,細眼突吻鱈,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042B0,Gonostoma atlanticum,大西洋鑽光魚,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042B1,Gonostoma atlanticum,大西洋鑽光魚,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042GG,Hoplostethus melanopus,黑首胸燧鯛,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042J3,Ilyophis brunneus,軟泥鰻,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042MH,Monomitopus kumae,熊吉單趾鼬鳚,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042Y9,Peristedion liorhynchus,光吻黃魴鮄,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043EA,Symphurus hondoensis,本州無線鰨,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043TK,Ventrifossa longibarbata,長鬚凹腹鱈,22.25,120.13,2001-11-21,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0418S,Avocettina infans,喙吻鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0418T,Avocettina infans,喙吻鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-0418U,Avocettina infans,喙吻鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041IT,Chauliodus sloani,斯氏蝰魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041IU,Chauliodus sloani,斯氏蝰魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-041YM,Diogenichthys atlanticus,大西洋明燈魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042YR,Photostomias guernei,格氏光巨口魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-042YT,Photostomias guernei,格氏光巨口魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043AJ,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043AR,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B1,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B2,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B3,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B4,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B5,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043B6,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BP,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BQ,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BR,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BS,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BT,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BU,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BV,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043BW,Sigmops gracilis,柔身纖鑽光魚,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
1W-043P1,Synaphobranchus kaupii,高氏合鰓鰻,22.28,120.0,2001-11-22,2001,fall,otter_trawl,台灣深海魚類多樣性的調查研究,nodass
