出現紀錄識別碼,階層,學名,中文名,緯度,經度,採樣日期,資料主題,資料來源,引用資訊
ODB:bio:occ:155684,species,Narke japonica,日本單鰭電鱝,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155682,species,Hemitrygon navarrae,奈氏魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155683,species,Narke japonica,日本單鰭電鱝,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155685,species,Okamejei hollandi,何氏甕鰩,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155691,species,Scoliodon laticaudus,寬尾斜齒鯊,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155692,species,Telatrygon zugei,尖嘴魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155693,species,Telatrygon zugei,尖嘴魟,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155689,species,Rhinobatos hynnicephalus,斑紋琵琶鱝,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155690,species,Rhinobatos hynnicephalus,斑紋琵琶鱝,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
ODB:bio:occ:155686,species,Platyrhina sinensis,,24.455,118.52833,2021-08-15,Demersal Fish,Theses and Dissertations,馬暐承（2023）。2021年夏季金門沿海底棲軟骨魚類群聚結構分析與鱝總目優勢物種生活史特徵。碩士論文，國立中山大學。https://hdl.handle.net/11296/6tyqux Accessed 04/07/2025 from https://api.odb.ntu.edu.tw/ecoapi. v1.5.
