lon,lat,sst_anomaly
135.125,-24.875,
135.375,-24.875,
135.625,-24.875,
135.875,-24.875,
136.125,-24.875,
136.375,-24.875,
136.625,-24.875,
136.875,-24.875,
137.125,-24.875,
137.375,-24.875,
137.625,-24.875,
137.875,-24.875,
138.125,-24.875,
138.375,-24.875,
138.625,-24.875,
138.875,-24.875,
139.125,-24.875,
139.375,-24.875,
139.625,-24.875,
139.875,-24.875,
140.125,-24.875,
140.375,-24.875,
140.625,-24.875,
140.875,-24.875,
141.125,-24.875,
141.375,-24.875,
141.625,-24.875,
141.875,-24.875,
142.125,-24.875,
142.375,-24.875,
142.625,-24.875,
142.875,-24.875,
143.125,-24.875,
143.375,-24.875,
143.625,-24.875,
143.875,-24.875,
144.125,-24.875,
144.375,-24.875,
144.625,-24.875,
144.875,-24.875,
145.125,-24.875,
145.375,-24.875,
145.625,-24.875,
145.875,-24.875,
146.125,-24.875,
146.375,-24.875,
146.625,-24.875,
146.875,-24.875,
147.125,-24.875,
147.375,-24.875,
147.625,-24.875,
147.875,-24.875,
148.125,-24.875,
148.375,-24.875,
148.625,-24.875,
148.875,-24.875,
149.125,-24.875,
149.375,-24.875,
149.625,-24.875,
149.875,-24.875,
150.125,-24.875,
150.375,-24.875,
150.625,-24.875,
150.875,-24.875,
151.125,-24.875,
151.375,-24.875,
151.625,-24.875,
151.875,-24.875,
152.125,-24.875,
152.375,-24.875,
152.625,-24.875,-0.3896
152.875,-24.875,-0.3063
153.125,-24.875,-0.1522
153.375,-24.875,0.0006
153.625,-24.875,0.0977
153.875,-24.875,0.1204
154.125,-24.875,0.1015
154.375,-24.875,0.0963
154.625,-24.875,0.0985
154.875,-24.875,0.1157
155.125,-24.875,0.1352
155.375,-24.875,0.1972
155.625,-24.875,0.2708
155.875,-24.875,0.2977
156.125,-24.875,0.2426
156.375,-24.875,0.1636
156.625,-24.875,0.126
156.875,-24.875,0.1155
157.125,-24.875,0.0331
157.375,-24.875,-0.1363
157.625,-24.875,-0.2828
157.875,-24.875,-0.3565
158.125,-24.875,-0.3407
158.375,-24.875,-0.3109
158.625,-24.875,-0.3313
158.875,-24.875,-0.3922
159.125,-24.875,-0.4569
159.375,-24.875,-0.4809
159.625,-24.875,-0.4619
159.875,-24.875,-0.4427
160.125,-24.875,-0.4183
160.375,-24.875,-0.3899
160.625,-24.875,-0.3841
160.875,-24.875,-0.345
161.125,-24.875,-0.2033
161.375,-24.875,-0.0511
161.625,-24.875,0.0649
161.875,-24.875,0.1315
162.125,-24.875,0.1411
162.375,-24.875,0.1254
162.625,-24.875,0.1365
162.875,-24.875,0.2241
163.125,-24.875,0.3204
163.375,-24.875,0.3851
163.625,-24.875,0.3886
163.875,-24.875,0.3241
164.125,-24.875,0.2821
164.375,-24.875,0.2541
164.625,-24.875,0.2699
164.875,-24.875,0.3139
165.125,-24.875,0.3488
165.375,-24.875,0.4144
165.625,-24.875,0.5054
165.875,-24.875,0.609
166.125,-24.875,0.7556
166.375,-24.875,0.8912
166.625,-24.875,0.9583
166.875,-24.875,0.9556
167.125,-24.875,0.9134
167.375,-24.875,0.8829
167.625,-24.875,0.8473
167.875,-24.875,0.8077
168.125,-24.875,0.7639
168.375,-24.875,0.6696
168.625,-24.875,0.531
168.875,-24.875,0.3849
169.125,-24.875,0.2671
169.375,-24.875,0.1793
169.625,-24.875,0.128
169.875,-24.875,0.1478
170.125,-24.875,0.1924
170.375,-24.875,0.2175
170.625,-24.875,0.2371
170.875,-24.875,0.2616
171.125,-24.875,0.2934
171.375,-24.875,0.341
171.625,-24.875,0.3742
171.875,-24.875,0.3854
172.125,-24.875,0.3983
172.375,-24.875,0.4229
172.625,-24.875,0.4437
172.875,-24.875,0.4126
173.125,-24.875,0.3165
173.375,-24.875,0.211
173.625,-24.875,0.0901
173.875,-24.875,-0.0269
174.125,-24.875,-0.1113
174.375,-24.875,-0.1461
174.625,-24.875,-0.1451
174.875,-24.875,-0.1265
175.125,-24.875,-0.137
175.375,-24.875,-0.23
175.625,-24.875,-0.4202
175.875,-24.875,-0.5935
176.125,-24.875,-0.701
176.375,-24.875,-0.7239
176.625,-24.875,-0.692
176.875,-24.875,-0.649
177.125,-24.875,-0.5786
177.375,-24.875,-0.4905
177.625,-24.875,-0.3808
177.875,-24.875,-0.2754
178.125,-24.875,-0.2076
178.375,-24.875,-0.1107
178.625,-24.875,-0.0042
178.875,-24.875,0.0789
179.125,-24.875,0.1067
179.375,-24.875,0.076
179.625,-24.875,0.058
135.125,-24.625,
135.375,-24.625,
135.625,-24.625,
135.875,-24.625,
136.125,-24.625,
136.375,-24.625,
136.625,-24.625,
136.875,-24.625,
137.125,-24.625,
137.375,-24.625,
137.625,-24.625,
137.875,-24.625,
138.125,-24.625,
138.375,-24.625,
138.625,-24.625,
138.875,-24.625,
139.125,-24.625,
139.375,-24.625,
139.625,-24.625,
139.875,-24.625,
140.125,-24.625,
140.375,-24.625,
140.625,-24.625,
140.875,-24.625,
141.125,-24.625,
141.375,-24.625,
141.625,-24.625,
141.875,-24.625,
142.125,-24.625,
142.375,-24.625,
142.625,-24.625,
142.875,-24.625,
143.125,-24.625,
143.375,-24.625,
143.625,-24.625,
143.875,-24.625,
144.125,-24.625,
144.375,-24.625,
144.625,-24.625,
144.875,-24.625,
145.125,-24.625,
145.375,-24.625,
145.625,-24.625,
145.875,-24.625,
146.125,-24.625,
146.375,-24.625,
146.625,-24.625,
146.875,-24.625,
147.125,-24.625,
147.375,-24.625,
147.625,-24.625,
147.875,-24.625,
148.125,-24.625,
148.375,-24.625,
148.625,-24.625,
148.875,-24.625,
149.125,-24.625,
149.375,-24.625,
149.625,-24.625,
149.875,-24.625,
150.125,-24.625,
150.375,-24.625,
150.625,-24.625,
150.875,-24.625,
151.125,-24.625,
151.375,-24.625,
151.625,-24.625,
151.875,-24.625,
152.125,-24.625,-0.2631
152.375,-24.625,-0.2292
152.625,-24.625,-0.2289
152.875,-24.625,-0.1462
153.125,-24.625,-0.0143
153.375,-24.625,0.1174
153.625,-24.625,0.1872
153.875,-24.625,0.1758
154.125,-24.625,0.1009
154.375,-24.625,0.0372
154.625,-24.625,-0.0178
154.875,-24.625,-0.0212
155.125,-24.625,-0.0054
155.375,-24.625,0.0594
155.625,-24.625,0.1233
155.875,-24.625,0.1467
156.125,-24.625,0.1018
156.375,-24.625,0.0405
156.625,-24.625,0.0504
156.875,-24.625,0.0644
157.125,-24.625,-0.0307
157.375,-24.625,-0.2238
157.625,-24.625,-0.3789
157.875,-24.625,-0.451
158.125,-24.625,-0.4332
158.375,-24.625,-0.3771
158.625,-24.625,-0.3637
158.875,-24.625,-0.3903
159.125,-24.625,-0.4099
159.375,-24.625,-0.3833
159.625,-24.625,-0.3581
159.875,-24.625,-0.3372
160.125,-24.625,-0.3154
160.375,-24.625,-0.2996
160.625,-24.625,-0.3437
160.875,-24.625,-0.3412
161.125,-24.625,-0.2307
161.375,-24.625,-0.0868
161.625,-24.625,0.031
161.875,-24.625,0.1135
162.125,-24.625,0.1491
162.375,-24.625,0.1681
162.625,-24.625,0.2356
162.875,-24.625,0.3589
163.125,-24.625,0.4785
163.375,-24.625,0.5301
163.625,-24.625,0.5094
163.875,-24.625,0.4236
164.125,-24.625,0.3757
164.375,-24.625,0.3383
164.625,-24.625,0.3438
164.875,-24.625,0.3782
165.125,-24.625,0.4137
165.375,-24.625,0.4923
165.625,-24.625,0.5932
165.875,-24.625,0.6896
166.125,-24.625,0.8207
166.375,-24.625,0.9157
166.625,-24.625,0.9325
166.875,-24.625,0.8691
167.125,-24.625,0.7905
167.375,-24.625,0.7605
167.625,-24.625,0.7487
167.875,-24.625,0.7349
168.125,-24.625,0.7197
168.375,-24.625,0.6402
168.625,-24.625,0.4965
168.875,-24.625,0.348
169.125,-24.625,0.2267
169.375,-24.625,0.1643
169.625,-24.625,0.1012
169.875,-24.625,0.1163
170.125,-24.625,0.1433
170.375,-24.625,0.1576
170.625,-24.625,0.1765
170.875,-24.625,0.2042
171.125,-24.625,0.2542
171.375,-24.625,0.3268
171.625,-24.625,0.3826
171.875,-24.625,0.4501
172.125,-24.625,0.5317
172.375,-24.625,0.6236
172.625,-24.625,0.6744
172.875,-24.625,0.651
173.125,-24.625,0.5383
173.375,-24.625,0.4049
173.625,-24.625,0.2553
173.875,-24.625,0.1012
174.125,-24.625,-0.0065
174.375,-24.625,-0.0484
174.625,-24.625,-0.0401
174.875,-24.625,-0.0384
175.125,-24.625,-0.053
175.375,-24.625,-0.1665
175.625,-24.625,-0.369
175.875,-24.625,-0.5376
176.125,-24.625,-0.6448
176.375,-24.625,-0.6624
176.625,-24.625,-0.6373
176.875,-24.625,-0.5788
177.125,-24.625,-0.5232
177.375,-24.625,-0.4714
177.625,-24.625,-0.3872
177.875,-24.625,-0.2888
178.125,-24.625,-0.2129
178.375,-24.625,-0.1088
178.625,-24.625,0.0014
178.875,-24.625,0.106
179.125,-24.625,0.1545
179.375,-24.625,0.1124
179.625,-24.625,0.0834
135.125,-24.375,
135.375,-24.375,
135.625,-24.375,
135.875,-24.375,
136.125,-24.375,
136.375,-24.375,
136.625,-24.375,
136.875,-24.375,
137.125,-24.375,
137.375,-24.375,
137.625,-24.375,
137.875,-24.375,
138.125,-24.375,
138.375,-24.375,
138.625,-24.375,
138.875,-24.375,
139.125,-24.375,
139.375,-24.375,
139.625,-24.375,
139.875,-24.375,
140.125,-24.375,
140.375,-24.375,
140.625,-24.375,
140.875,-24.375,
141.125,-24.375,
141.375,-24.375,
141.625,-24.375,
141.875,-24.375,
142.125,-24.375,
142.375,-24.375,
142.625,-24.375,
142.875,-24.375,
143.125,-24.375,
143.375,-24.375,
143.625,-24.375,
143.875,-24.375,
144.125,-24.375,
144.375,-24.375,
144.625,-24.375,
144.875,-24.375,
145.125,-24.375,
145.375,-24.375,
145.625,-24.375,
145.875,-24.375,
146.125,-24.375,
146.375,-24.375,
146.625,-24.375,
146.875,-24.375,
147.125,-24.375,
147.375,-24.375,
147.625,-24.375,
147.875,-24.375,
148.125,-24.375,
148.375,-24.375,
148.625,-24.375,
148.875,-24.375,
149.125,-24.375,
149.375,-24.375,
149.625,-24.375,
149.875,-24.375,
150.125,-24.375,
150.375,-24.375,
150.625,-24.375,
150.875,-24.375,
151.125,-24.375,
151.375,-24.375,
151.625,-24.375,
151.875,-24.375,
152.125,-24.375,-0.2201
152.375,-24.375,-0.1509
152.625,-24.375,-0.0848
152.875,-24.375,0.0125
153.125,-24.375,0.1333
153.375,-24.375,0.2351
153.625,-24.375,0.2855
153.875,-24.375,0.2442
154.125,-24.375,0.1063
154.375,-24.375,-0.0423
154.625,-24.375,-0.1703
154.875,-24.375,-0.1856
155.125,-24.375,-0.1441
155.375,-24.375,-0.054
155.625,-24.375,0.016
155.875,-24.375,0.0155
156.125,-24.375,-0.029
156.375,-24.375,-0.0707
156.625,-24.375,-0.0344
156.875,-24.375,0.0087
